"","rn","variable","value"
"1",0,"Maricopa - Arizona - US",0
"2",1,"Maricopa - Arizona - US",0
"3",2,"Maricopa - Arizona - US",0
"4",3,"Maricopa - Arizona - US",0
"5",4,"Maricopa - Arizona - US",1
"6",5,"Maricopa - Arizona - US",1
"7",6,"Maricopa - Arizona - US",1
"8",7,"Maricopa - Arizona - US",1
"9",8,"Maricopa - Arizona - US",1
"10",9,"Maricopa - Arizona - US",1
"11",10,"Maricopa - Arizona - US",1
"12",11,"Maricopa - Arizona - US",1
"13",12,"Maricopa - Arizona - US",1
"14",13,"Maricopa - Arizona - US",1
"15",14,"Maricopa - Arizona - US",1
"16",15,"Maricopa - Arizona - US",1
"17",16,"Maricopa - Arizona - US",1
"18",17,"Maricopa - Arizona - US",1
"19",18,"Maricopa - Arizona - US",1
"20",19,"Maricopa - Arizona - US",1
"21",20,"Maricopa - Arizona - US",1
"22",21,"Maricopa - Arizona - US",1
"23",22,"Maricopa - Arizona - US",1
"24",23,"Maricopa - Arizona - US",1
"25",24,"Maricopa - Arizona - US",1
"26",25,"Maricopa - Arizona - US",1
"27",26,"Maricopa - Arizona - US",1
"28",27,"Maricopa - Arizona - US",1
"29",28,"Maricopa - Arizona - US",1
"30",29,"Maricopa - Arizona - US",1
"31",30,"Maricopa - Arizona - US",1
"32",31,"Maricopa - Arizona - US",1
"33",32,"Maricopa - Arizona - US",1
"34",33,"Maricopa - Arizona - US",1
"35",34,"Maricopa - Arizona - US",1
"36",35,"Maricopa - Arizona - US",1
"37",36,"Maricopa - Arizona - US",1
"38",37,"Maricopa - Arizona - US",1
"39",38,"Maricopa - Arizona - US",1
"40",39,"Maricopa - Arizona - US",1
"41",40,"Maricopa - Arizona - US",1
"42",41,"Maricopa - Arizona - US",1
"43",42,"Maricopa - Arizona - US",1
"44",43,"Maricopa - Arizona - US",1
"45",44,"Maricopa - Arizona - US",2
"46",45,"Maricopa - Arizona - US",2
"47",46,"Maricopa - Arizona - US",2
"48",47,"Maricopa - Arizona - US",2
"49",48,"Maricopa - Arizona - US",2
"50",49,"Maricopa - Arizona - US",3
"51",50,"Maricopa - Arizona - US",3
"52",51,"Maricopa - Arizona - US",3
"53",52,"Maricopa - Arizona - US",4
"54",53,"Maricopa - Arizona - US",4
"55",54,"Maricopa - Arizona - US",8
"56",55,"Maricopa - Arizona - US",9
"57",56,"Maricopa - Arizona - US",11
"58",57,"Maricopa - Arizona - US",22
"59",58,"Maricopa - Arizona - US",34
"60",59,"Maricopa - Arizona - US",49
"61",60,"Maricopa - Arizona - US",81
"62",61,"Maricopa - Arizona - US",139
"63",62,"Maricopa - Arizona - US",199
"64",63,"Maricopa - Arizona - US",251
"65",64,"Maricopa - Arizona - US",299
"66",65,"Maricopa - Arizona - US",399
"67",66,"Maricopa - Arizona - US",454
"68",67,"Maricopa - Arizona - US",545
"69",68,"Maricopa - Arizona - US",690
