"","Combined_Key","variable","value"
"1",0,"Maricopa...Arizona...US",0
"2",1,"Maricopa...Arizona...US",0
"3",2,"Maricopa...Arizona...US",0
"4",3,"Maricopa...Arizona...US",0
"5",4,"Maricopa...Arizona...US",0.023512814
"6",5,"Maricopa...Arizona...US",0.023512814
"7",6,"Maricopa...Arizona...US",0.023512814
"8",7,"Maricopa...Arizona...US",0.023512814
"9",8,"Maricopa...Arizona...US",0.023512814
"10",9,"Maricopa...Arizona...US",0.023512814
"11",10,"Maricopa...Arizona...US",0.023512814
"12",11,"Maricopa...Arizona...US",0.023512814
"13",12,"Maricopa...Arizona...US",0.023512814
"14",13,"Maricopa...Arizona...US",0.023512814
"15",14,"Maricopa...Arizona...US",0.023512814
"16",15,"Maricopa...Arizona...US",0.023512814
"17",16,"Maricopa...Arizona...US",0.023512814
"18",17,"Maricopa...Arizona...US",0.023512814
"19",18,"Maricopa...Arizona...US",0.023512814
"20",19,"Maricopa...Arizona...US",0.023512814
"21",20,"Maricopa...Arizona...US",0.023512814
"22",21,"Maricopa...Arizona...US",0.023512814
"23",22,"Maricopa...Arizona...US",0.023512814
"24",23,"Maricopa...Arizona...US",0.023512814
"25",24,"Maricopa...Arizona...US",0.023512814
"26",25,"Maricopa...Arizona...US",0.023512814
"27",26,"Maricopa...Arizona...US",0.023512814
"28",27,"Maricopa...Arizona...US",0.023512814
"29",28,"Maricopa...Arizona...US",0.023512814
"30",29,"Maricopa...Arizona...US",0.023512814
"31",30,"Maricopa...Arizona...US",0.023512814
"32",31,"Maricopa...Arizona...US",0.023512814
"33",32,"Maricopa...Arizona...US",0.023512814
"34",33,"Maricopa...Arizona...US",0.023512814
"35",34,"Maricopa...Arizona...US",0.023512814
"36",35,"Maricopa...Arizona...US",0.023512814
"37",36,"Maricopa...Arizona...US",0.023512814
"38",37,"Maricopa...Arizona...US",0.023512814
"39",38,"Maricopa...Arizona...US",0.023512814
"40",39,"Maricopa...Arizona...US",0.023512814
"41",40,"Maricopa...Arizona...US",0.023512814
"42",41,"Maricopa...Arizona...US",0.023512814
"43",42,"Maricopa...Arizona...US",0.023512814
"44",43,"Maricopa...Arizona...US",0.023512814
"45",44,"Maricopa...Arizona...US",0.047025629
"46",45,"Maricopa...Arizona...US",0.047025629
"47",46,"Maricopa...Arizona...US",0.047025629
"48",47,"Maricopa...Arizona...US",0.047025629
"49",48,"Maricopa...Arizona...US",0.047025629
"50",49,"Maricopa...Arizona...US",0.070538443
"51",50,"Maricopa...Arizona...US",0.070538443
"52",51,"Maricopa...Arizona...US",0.070538443
"53",52,"Maricopa...Arizona...US",0.094051258
"54",53,"Maricopa...Arizona...US",0.094051258
"55",54,"Maricopa...Arizona...US",0.188102516
"56",55,"Maricopa...Arizona...US",0.21161533
"57",56,"Maricopa...Arizona...US",0.258640959
"58",57,"Maricopa...Arizona...US",0.517281919
