,date.x,county,state.x,fips.x,cases,deaths,days_since_first_infection1,STATE.x,AREA_NAME,X.50.gatherings,X.500.gatherings,public.schools,restaurant.dine.in,entertainment.gym,stayhome,State,Area_Name,Median_Household_Income_2018,Feb.Precipitation...inch,Mar.Precipitation...inch,Apr.Precipitation...inch,Feb.Temp.AVG...F,Mar.Temp.AVG...F,Apr.Temp.AVG...F,Housing.units,Area.in.square.miles...Total.area,Area.in.square.miles...Water.area,Area.in.square.miles...Land.area,Density.per.square.mile.of.land.area...Population,Density.per.square.mile.of.land.area...Housing.units,Percent.of.adults.with.less.than.a.high.school.diploma.2014.18,Percent.of.adults.with.a.high.school.diploma.only.2014.18,Percent.of.adults.completing.some.college.or.associate.s.degree.2014.18,Percent.of.adults.with.a.bachelor.s.degree.or.higher.2014.18,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Total_age0to17,Male_age0to17,Female_age0to17,Total_age18to64,Male_age18to64,Female_age18to64,Total_age65plus,Male_age65plus,Female_age65plus,Total_age85plusr,Male_age85plusr,Female_age85plusr,STATE.y,COUNTY,Pop_Density,ET_Total_Population,EM_Total_Pop_Median_Age,totalhouseholds,E_Total_Pop_SEX_Male,E_Total_Pop_SEX_Female,E_Total_Pop_RACE_One_Race,E_Total_Pop_RACE_White,E_Total_Pop_RACE_Black,E_Total_Pop_RACE_Native_Pop,E_Total_Pop_RACE_Asian,E_Total_Pop_RACE_Pacific_Islander,E_Total_Pop_RACE_Other_Race,E_Total_Pop_RACE_Two_or_More_Races,E_Total_Pop_RACE_Hispanic,E_Total_Pop_RACE_White_Alone,E_Total_Pop_in_Households_Householder_Spouse,E_Total_Pop_in_Households_Householder_Parent,E_Total_Pop_in_Households_Householder_Other_Relative,E_Total_Pop_in_Households_Householder_Nonrelative,E_Total_Pop_in_Households_Householder_Unmarried_Partner,E_Total_Pop_Over_15_MARITAL_STATUS_Married,E_Total_Pop_Over_15_MARITAL_STATUS_Widowed,E_Total_Pop_Over_15_MARITAL_STATUS_Divorced,E_Total_Pop_Over_15_MARITAL_STATUS_Separated,E_INDUSTRY_Administrative_Waste_Management,E_INDUSTRY_Educational,E_INDUSTRY_Healthcare_Social_Assistance,E_INDUSTRY_Arts_Entertainment_Recreation,E_INDUSTRY_Accommodation_Food_Services,E_INDUSTRY_Other_Services,E_INDUSTRY_Public_Administration,ET_TRANSPORTATION_Total_Workers_Over_16,E_TRANSPORTATION_Total_Workers_Over_16_Drove_Alone,E_TRANSPORTATION_Total_Workers_Over_16_Carpool,E_Total_Households_TYPE_Family,E_Total_Households_TYPE_Family_Married_Couple,E_Total_Households_TYPE_Family_Female_Householder,E_Total_Households_TYPE_Nonfamily,E_Total_Households_WITH_INCOME_WITH_EARNINGS,E_Total_Households_WITH_INCOME_WITH_Social_Security,E_Total_Households_WITH_INCOME_WITH_Suppl_Security,E_Total_Households_WITH_INCOME_WITH_Cash_Public_Asst,E_Total_Households_WITH_INCOME_WITH_Retirement_Income,E_Total_Households_WITH_INCOME_WITH_SNAP,E_Total_Pop_POVERTY_STATUS_Below_100_Percent,year,summer_tmmx,summer_rmax,winter_tmmx,winter_rmax
1,4/30/20,Autauga,Alabama,1001,42,4,37,AL,autauga county,40,47,44,41,32,25,AL,Autauga County,59338,3.75,3.88,5.17,58.6,56.5,64.8,22135,604.39,9.95,594.44,91.8,37.2,0.113,0.326,0.284,0.277,0.036,1.19,0.236740346,0.120969047,0.115771299,0.607632956,0.296433517,0.311199439,0.155626697,0.068110286,0.087516412,0.015665186,0.00591716,0.009748026,ALABAMA,Autauga,92.85996704,55200,37.8,21115,0.487,0.513,0.981,0.769,0.191,0.003,0.01,0.001,0.007,0.019,0.028,0.75,0.599015761,0.006930761,0.357429239,0.026732935,0.009901087,0.454830217,0.04500087,0.089198152,0.012053804,0.014402174,0.040561594,0.047192029,0.007155797,0.028351449,0.027300725,0.044800725,0.243351449,0.200815217,0.024547101,0.718,0.568,0.114,0.282,0.739,0.342,0.055,0.013,0.22,0.127,0.399422685,2008,306.023451,96.05541747,288.0850909,85.65184499
2,4/30/20,Baldwin,Alabama,1003,174,3,47,AL,baldwin county,40,47,44,41,32,25,AL,Baldwin County,57588,2.84,2.53,6.45,61.8,59.3,65.8,104061,2027.31,437.53,1589.78,114.6,65.5,0.097,0.276,0.313,0.313,0.036,1.155,0.216079111,0.109209162,0.106869949,0.579487391,0.280549669,0.298937722,0.204433498,0.0948574,0.109576098,0.019741127,0.008049646,0.011691481,ALABAMA,Baldwin,130.9019471,208107,42.8,78622,0.486,0.514,0.983,0.863,0.095,0.007,0.008,0,0.01,0.017,0.045,0.83,0.576527483,0.009855171,0.354786144,0.043362751,0.014782756,0.430091972,0.06144171,0.109775856,0.015565233,0.019672572,0.035606683,0.054529641,0.009317322,0.035928633,0.022012715,0.022733498,0.365557141,0.302479013,0.028864959,0.653,0.527,0.095,0.347,0.718,0.396,0.043,0.014,0.252,0.075,0.276290021,2008,305.5166332,97.97154375,290.2088608,89.73097231
3,4/30/20,Barbour,Alabama,1005,39,1,29,AL,barbour county,40,47,44,41,32,25,AL,Barbour County,34382,1.71,3.48,4.71,58.6,57.5,65.3,11829,904.52,19.64,884.88,31,13.4,0.27,0.357,0.251,0.122,0.052,0.689,0.208673285,0.105703147,0.102970138,0.597122302,0.338169688,0.258952614,0.194204413,0.083959648,0.110244765,0.018970299,0.005948314,0.013021985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,306.0622486,97.37167482,289.2421072,88.63357171
4,4/30/20,Bibb,Alabama,1007,42,0,42,AL,bibb county,40,47,44,41,32,25,AL,Bibb County,46064,8.03,2.79,5.83,55.4,54.6,63.5,8981,626.17,3.59,622.58,36.8,14.4,0.168,0.473,0.244,0.115,0.04,0.923,0.204776786,0.107098214,0.097678571,0.630491071,0.352455357,0.278035714,0.164732143,0.072633929,0.092098214,0.016205357,0.004821429,0.011383929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,305.982177,96.29307694,287.3628325,86.48586611
5,4/30/20,Blount,Alabama,1009,37,0,41,AL,blount county,40,47,44,41,32,25,AL,Blount County,50412,10.42,4.42,6.01,52.3,52.2,62.6,23887,650.63,5.85,644.78,88.9,37,0.198,0.34,0.335,0.126,0.035,1.011,0.23153527,0.115957815,0.115577455,0.586099585,0.294640387,0.291459198,0.182365145,0.082140387,0.100224758,0.017842324,0.006414246,0.011428077,ALABAMA,Blount,89.39559087,57645,40.8,20600,0.493,0.507,0.984,0.955,0.015,0.002,0.003,0,0.008,0.016,0.091,0.871,0.563640177,0.011886963,0.388307468,0.026745667,0.008915222,0.469810148,0.063771481,0.09444637,0.013722977,0.012611675,0.023471246,0.049457889,0.001942927,0.015179114,0.022048747,0.01698326,0.150576806,0.124590164,0.014433169,0.733,0.58,0.096,0.267,0.67,0.384,0.08,0.016,0.217,0.095,0.399019806,2008,305.1788646,94.63094868,285.5656757,85.4491388
6,4/30/20,Bullock,Alabama,1011,13,0,35,AL,bullock county,40,47,44,41,32,25,AL,Bullock County,29267,1.7,3.54,5.46,58.2,56.6,64.4,4493,625.14,2.34,622.8,17.5,7.2,0.248,0.397,0.223,0.133,0.047,0.587,0.210791083,0.107910831,0.102880253,0.625369895,0.366640363,0.258729532,0.163839022,0.07062537,0.093213652,0.018149536,0.005227856,0.012921681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,305.8677188,97.13842046,288.6913288,89.1681225
7,4/30/20,Butler,Alabama,1013,53,1,48,AL,butler county,40,47,44,41,32,25,AL,Butler County,37365,2.44,1.8,6.94,59.9,57.6,64.4,9964,777.88,1.05,776.83,27,12.8,0.154,0.439,0.246,0.161,0.048,0.749,0.22245935,0.117835366,0.104623984,0.574542683,0.264837398,0.309705285,0.202997967,0.083028455,0.119969512,0.02972561,0.006961382,0.022764228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,306.1584924,97.1173997,289.3199501,88.41467891
8,4/30/20,Calhoun,Alabama,1015,93,3,44,AL,calhoun county,40,47,44,41,32,25,AL,Calhoun County,45400,8.97,3.67,4.72,52.6,53,63,53289,612.29,6.42,605.87,195.7,88,0.159,0.324,0.337,0.18,0.047,0.91,0.216097727,0.110240906,0.105856822,0.606727513,0.295168757,0.311558756,0.17717476,0.075124478,0.102050281,0.018472659,0.005521671,0.012950988,ALABAMA,Calhoun,189.9723079,115098,39.7,45033,0.481,0.519,0.976,0.743,0.206,0.003,0.009,0,0.015,0.024,0.037,0.725,0.57793953,0.011675546,0.330807138,0.051566995,0.023351092,0.398347408,0.06242145,0.105130862,0.022997376,0.016194895,0.036916367,0.054049593,0.006264227,0.02931415,0.020573772,0.030000521,0.403395367,0.350544753,0.030843281,0.685,0.477,0.164,0.315,0.714,0.396,0.073,0.017,0.255,0.179,0.462515622,2008,305.1069784,96.38513365,286.0322867,86.58536346
9,4/30/20,Chambers,Alabama,1017,291,21,42,AL,chambers county,40,47,44,41,32,25,AL,Chambers County,39917,2.83,3.28,6.99,54.5,53.6,62.3,17004,603.11,6.58,596.53,57.4,28.5,0.186,0.384,0.297,0.132,0.039,0.8,0.20800238,0.106262085,0.101740295,0.596787149,0.289543359,0.30724379,0.195210472,0.082939164,0.112271307,0.022281719,0.005890228,0.016391492,ALABAMA,Chambers,56.70169562,33826,43,13516,0.481,0.519,0.99,0.576,0.394,0.003,0.012,0,0.005,0.01,0.023,0.558,0.569251227,0.014772956,0.353566073,0.047273458,0.021667002,0.373146396,0.082092207,0.101164134,0.02155957,0.02861704,0.030479513,0.051794478,0.004227517,0.023118311,0.017796961,0.01759002,0.26015491,0.223526282,0.02474428,0.641,0.423,0.16,0.359,0.673,0.411,0.071,0.007,0.19,0.147,0.408662622,2008,305.6673526,96.23720963,287.5812197,87.76759871
10,4/30/20,Cherokee,Alabama,1019,15,0,53,AL,cherokee county,40,47,44,41,32,25,AL,Cherokee County,42132,10.82,4.4,5.26,51.5,51.7,62.4,16267,599.98,46.28,553.7,46.9,29.4,0.198,0.383,0.29,0.129,0.036,0.845,0.191687154,0.097303319,0.094383835,0.578595575,0.2909496,0.287645974,0.229717271,0.107137369,0.122579902,0.020590043,0.007068224,0.013521819,ALABAMA,Cherokee,46.70612505,25853,45.9,10606,0.496,0.504,0.992,0.928,0.049,0.009,0.002,0,0.003,0.008,0.015,0.918,0.645089854,0.004947008,0.314629714,0.02473504,0.012862221,0.495125092,0.063670909,0.096344138,0.015917727,0.007117162,0.028352609,0.059838317,0.002050052,0.015704174,0.008200209,0.023362859,0.242447685,0.214365838,0.01678722,0.691,0.572,0.096,0.309,0.605,0.471,0.09,0.014,0.242,0.159,0.360659061,2008,305.2567209,96.03808884,285.2225696,87.75722354
11,4/30/20,Chilton,Alabama,1021,53,1,36,AL,chilton county,40,47,44,41,32,25,AL,Chilton County,47547,5.48,3.48,5.31,56,54.8,63.6,19278,700.8,7.95,692.85,63,27.8,0.178,0.441,0.24,0.142,0.036,0.953,0.237605599,0.118315856,0.119289742,0.594546237,0.29610672,0.298439517,0.167848164,0.076325504,0.09152266,0.01741671,0.00672661,0.0106901,ALABAMA,Chilton,63.40466869,43930,38.6,16751,0.493,0.507,0.977,0.833,0.094,0.003,0.004,0,0.042,0.023,0.078,0.801,0.578642568,0.009908263,0.354715821,0.047559663,0.019816526,0.421362759,0.062483451,0.103338015,0.012817118,0.015433644,0.024129297,0.038811746,0.001411336,0.017095379,0.027361712,0.019622126,0.220122923,0.18126565,0.025973139,0.712,0.514,0.14,0.288,0.707,0.374,0.068,0.019,0.202,0.182,0.480351024,2008,305.7702408,95.93478176,287.4454119,85.88084477
12,4/30/20,Choctaw,Alabama,1023,43,0,37,AL,choctaw county,40,47,44,41,32,25,AL,Choctaw County,39907,5.44,3.72,7.25,58.4,56.8,63.5,7269,920.86,7.36,913.5,15.2,8,0.186,0.382,0.302,0.13,0.055,0.8,0.199906549,0.104197492,0.095709057,0.570126937,0.268281287,0.301845651,0.229966514,0.100225839,0.129740674,0.027490071,0.010279573,0.017210498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,306.6106306,96.91373597,289.0024351,88.20489928
13,4/30/20,Clarke,Alabama,1025,32,1,46,AL,clarke county,40,47,44,41,32,25,AL,Clarke County,40741,3.57,3.76,6.19,60.8,57.7,63.7,12638,1252.57,14.11,1238.46,20.9,10.2,0.188,0.437,0.249,0.126,0.075,0.817,0.217182274,0.109197324,0.10798495,0.584113712,0.277132107,0.306981605,0.198704013,0.087249164,0.111454849,0.024749164,0.007901338,0.016847826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,306.5398896,97.06148606,289.5414213,87.38195651
14,4/30/20,Clay,Alabama,1027,21,1,49,AL,clay county,40,47,44,41,32,25,AL,Clay County,39201,7.59,3.24,5.63,53,52.8,62,6776,606,2.04,603.96,23.1,11.2,0.245,0.363,0.291,0.102,0.039,0.786,0.202485876,0.106440678,0.096045198,0.590282486,0.289868173,0.300414313,0.207231638,0.092730697,0.114500942,0.023502825,0.009039548,0.014463277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,304.6604002,97.48251761,286.3918829,87.78888658
15,4/30/20,Cleburne,Alabama,1029,12,1,45,AL,cleburne county,40,47,44,41,32,25,AL,Cleburne County,46495,7.68,3.11,5.18,52,52.5,62.1,6718,561.01,0.91,560.1,26.7,12,0.226,0.396,0.241,0.137,0.042,0.932,0.227663975,0.11950357,0.108160406,0.577834123,0.287782745,0.290051378,0.194501902,0.087876159,0.106625742,0.022619604,0.007139521,0.015480083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,304.4228568,97.6828699,285.915958,87.91294318
16,4/30/20,Coffee,Alabama,1031,111,0,39,AL,coffee county,40,47,44,41,32,25,AL,Coffee County,55122,1.72,2.94,4.29,59.2,57.7,65,22330,680.49,1.52,678.97,73.6,32.9,0.138,0.279,0.349,0.234,0.039,1.105,0.23656784,0.121712998,0.114854842,0.593885453,0.295844651,0.298040802,0.169546707,0.074091198,0.095455509,0.018686548,0.006087576,0.012598971,ALABAMA,Coffee,75.5361871,51288,39.3,19789,0.494,0.506,0.969,0.759,0.172,0.012,0.013,0,0.013,0.031,0.069,0.706,0.586051143,0.011859382,0.352816624,0.037554711,0.013835946,0.428900386,0.053109616,0.099781703,0.023336044,0.013901887,0.03930744,0.057089378,0.005459367,0.026497426,0.02043363,0.042115115,0.357471533,0.304769147,0.031820309,0.686,0.517,0.132,0.314,0.754,0.344,0.06,0.013,0.27,0.128,0.385355602,2008,306.1311374,97.28072165,289.7128747,87.31000077
17,4/30/20,Colbert,Alabama,1033,29,2,36,AL,colbert county,40,47,44,41,32,25,AL,Colbert County,49055,14.24,3.46,6.62,49.6,49.6,60.9,25758,622.13,29.51,592.62,91.8,43.5,0.156,0.36,0.297,0.187,0.046,0.983,0.207625726,0.104707644,0.102918082,0.59307549,0.288119499,0.304955991,0.199298784,0.086684197,0.112614587,0.023483437,0.008984332,0.014499105,ALABAMA,Colbert,91.93671616,54495,42.7,21799,0.478,0.522,0.978,0.794,0.158,0.007,0.005,0.001,0.013,0.022,0.025,0.787,0.600159556,0.014879989,0.342239747,0.033727975,0.016863988,0.427961905,0.067616332,0.108021213,0.017316378,0.01609322,0.029782549,0.056298743,0.004844481,0.027598862,0.020368841,0.016405175,0.448609964,0.409340306,0.025892284,0.677,0.501,0.125,0.323,0.667,0.402,0.068,0.01,0.251,0.119,0.403712693,2008,305.1925749,95.5697313,284.6816744,86.95980546
