fips.x,county,state.x,cases,deaths,days_since_first_infection1,Tests.per.100thousand,X.50.gatherings,X.500.gatherings,public.schools,restaurant.dine.in,entertainment.gym,stayhome,Percent.of.adults.with.less.than.a.high.school.diploma.2014.18,Percent.of.adults.with.a.high.school.diploma.only.2014.18,Percent.of.adults.completing.some.college.or.associate.s.degree.2014.18,Percent.of.adults.with.a.bachelor.s.degree.or.higher.2014.18,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Total_age0to17,Male_age0to17,Female_age0to17,Total_age18to64,Male_age18to64,Female_age18to64,Total_age65plus,Male_age65plus,Female_age65plus,Total_age85plusr,Male_age85plusr,Female_age85plusr,E_Total_Pop_SEX_Male,E_Total_Pop_SEX_Female,E_Total_Pop_RACE_One_Race,E_Total_Pop_RACE_White,E_Total_Pop_RACE_Black,E_Total_Pop_RACE_Native_Pop,E_Total_Pop_RACE_Asian,E_Total_Pop_RACE_Other_Race,E_Total_Pop_RACE_Two_or_More_Races,E_Total_Pop_RACE_Hispanic,E_Total_Pop_RACE_White_Alone,E_Total_Pop_in_Households_Householder_Spouse,E_Total_Pop_in_Households_Householder_Parent,E_Total_Pop_in_Households_Householder_Other_Relative,E_Total_Pop_in_Households_Householder_Nonrelative,E_Total_Pop_in_Households_Householder_Unmarried_Partner,E_Total_Pop_Over_15_MARITAL_STATUS_Married,E_Total_Pop_Over_15_MARITAL_STATUS_Widowed,E_Total_Pop_Over_15_MARITAL_STATUS_Divorced,E_Total_Pop_Over_15_MARITAL_STATUS_Separated,E_INDUSTRY_Administrative_Waste_Management,E_INDUSTRY_Educational,E_INDUSTRY_Healthcare_Social_Assistance,E_INDUSTRY_Arts_Entertainment_Recreation,E_INDUSTRY_Accommodation_Food_Services,E_INDUSTRY_Other_Services,E_INDUSTRY_Public_Administration,ET_TRANSPORTATION_Total_Workers_Over_16,E_TRANSPORTATION_Total_Workers_Over_16_Drove_Alone,E_TRANSPORTATION_Total_Workers_Over_16_Carpool,E_Total_Households_TYPE_Family,E_Total_Households_TYPE_Family_Married_Couple,E_Total_Households_TYPE_Family_Female_Householder,E_Total_Households_TYPE_Nonfamily,E_Total_Households_WITH_INCOME_WITH_EARNINGS,E_Total_Households_WITH_INCOME_WITH_Social_Security,E_Total_Households_WITH_INCOME_WITH_Suppl_Security,E_Total_Households_WITH_INCOME_WITH_Cash_Public_Asst,E_Total_Households_WITH_INCOME_WITH_Retirement_Income,E_Total_Households_WITH_INCOME_WITH_SNAP,E_Total_Pop_POVERTY_STATUS_Below_100_Percent,summer_tmmx,summer_rmax,winter_tmmx,winter_rmax,Area.in.square.miles...Total.area,Area.in.square.miles...Water.area,Area.in.square.miles...Land.area,Density.per.square.mile.of.land.area...Population,Density.per.square.mile.of.land.area...Housing.units,EM_Total_Pop_Median_Age,totalhouseholds,Median_Household_Income_2018,ET_Total_Population,Housing.units,workplaces_percent_change_from_baseline
1001,Autauga,Alabama,42,4,37,2109.650602,40,47,44,41,32,25,0.113,0.326,0.284,0.277,0.036,1.19,0.236740346,0.120969047,0.115771299,0.607632956,0.296433517,0.311199439,0.155626697,0.068110286,0.087516412,0.015665186,0.00591716,0.009748026,0.487,0.513,0.981,0.769,0.191,0.003,0.01,0.007,0.019,0.028,0.75,0.599015761,0.006930761,0.357429239,0.026732935,0.009901087,0.454830217,0.04500087,0.089198152,0.012053804,0.014402174,0.040561594,0.047192029,0.007155797,0.028351449,0.027300725,0.044800725,0.243351449,0.200815217,0.024547101,0.718,0.568,0.114,0.282,0.739,0.342,0.055,0.013,0.22,0.127,0.399422685,306.023451,96.05541747,288.0850909,85.65184499,604.39,9.95,594.44,91.8,37.2,37.8,21115,59338,55200,22135,-0.31
1003,Baldwin,Alabama,174,3,47,2109.650602,40,47,44,41,32,25,0.097,0.276,0.313,0.313,0.036,1.155,0.216079111,0.109209162,0.106869949,0.579487391,0.280549669,0.298937722,0.204433498,0.0948574,0.109576098,0.019741127,0.008049646,0.011691481,0.486,0.514,0.983,0.863,0.095,0.007,0.008,0.01,0.017,0.045,0.83,0.576527483,0.009855171,0.354786144,0.043362751,0.014782756,0.430091972,0.06144171,0.109775856,0.015565233,0.019672572,0.035606683,0.054529641,0.009317322,0.035928633,0.022012715,0.022733498,0.365557141,0.302479013,0.028864959,0.653,0.527,0.095,0.347,0.718,0.396,0.043,0.014,0.252,0.075,0.276290021,305.5166332,97.97154375,290.2088608,89.73097231,2027.31,437.53,1589.78,114.6,65.5,42.8,78622,57588,208107,104061,-0.31
1009,Blount,Alabama,37,0,41,2109.650602,40,47,44,41,32,25,0.198,0.34,0.335,0.126,0.035,1.011,0.23153527,0.115957815,0.115577455,0.586099585,0.294640387,0.291459198,0.182365145,0.082140387,0.100224758,0.017842324,0.006414246,0.011428077,0.493,0.507,0.984,0.955,0.015,0.002,0.003,0.008,0.016,0.091,0.871,0.563640177,0.011886963,0.388307468,0.026745667,0.008915222,0.469810148,0.063771481,0.09444637,0.013722977,0.012611675,0.023471246,0.049457889,0.001942927,0.015179114,0.022048747,0.01698326,0.150576806,0.124590164,0.014433169,0.733,0.58,0.096,0.267,0.67,0.384,0.08,0.016,0.217,0.095,0.399019806,305.1788646,94.63094868,285.5656757,85.4491388,650.63,5.85,644.78,88.9,37,40.8,20600,50412,57645,23887,-0.28
1015,Calhoun,Alabama,93,3,44,2109.650602,40,47,44,41,32,25,0.159,0.324,0.337,0.18,0.047,0.91,0.216097727,0.110240906,0.105856822,0.606727513,0.295168757,0.311558756,0.17717476,0.075124478,0.102050281,0.018472659,0.005521671,0.012950988,0.481,0.519,0.976,0.743,0.206,0.003,0.009,0.015,0.024,0.037,0.725,0.57793953,0.011675546,0.330807138,0.051566995,0.023351092,0.398347408,0.06242145,0.105130862,0.022997376,0.016194895,0.036916367,0.054049593,0.006264227,0.02931415,0.020573772,0.030000521,0.403395367,0.350544753,0.030843281,0.685,0.477,0.164,0.315,0.714,0.396,0.073,0.017,0.255,0.179,0.462515622,305.1069784,96.38513365,286.0322867,86.58536346,612.29,6.42,605.87,195.7,88,39.7,45033,45400,115098,53289,-0.29
1017,Chambers,Alabama,291,21,42,2109.650602,40,47,44,41,32,25,0.186,0.384,0.297,0.132,0.039,0.8,0.20800238,0.106262085,0.101740295,0.596787149,0.289543359,0.30724379,0.195210472,0.082939164,0.112271307,0.022281719,0.005890228,0.016391492,0.481,0.519,0.99,0.576,0.394,0.003,0.012,0.005,0.01,0.023,0.558,0.569251227,0.014772956,0.353566073,0.047273458,0.021667002,0.373146396,0.082092207,0.101164134,0.02155957,0.02861704,0.030479513,0.051794478,0.004227517,0.023118311,0.017796961,0.01759002,0.26015491,0.223526282,0.02474428,0.641,0.423,0.16,0.359,0.673,0.411,0.071,0.007,0.19,0.147,0.408662622,305.6673526,96.23720963,287.5812197,87.76759871,603.11,6.58,596.53,57.4,28.5,43,13516,39917,33826,17004,-0.29
1019,Cherokee,Alabama,15,0,53,2109.650602,40,47,44,41,32,25,0.198,0.383,0.29,0.129,0.036,0.845,0.191687154,0.097303319,0.094383835,0.578595575,0.2909496,0.287645974,0.229717271,0.107137369,0.122579902,0.020590043,0.007068224,0.013521819,0.496,0.504,0.992,0.928,0.049,0.009,0.002,0.003,0.008,0.015,0.918,0.645089854,0.004947008,0.314629714,0.02473504,0.012862221,0.495125092,0.063670909,0.096344138,0.015917727,0.007117162,0.028352609,0.059838317,0.002050052,0.015704174,0.008200209,0.023362859,0.242447685,0.214365838,0.01678722,0.691,0.572,0.096,0.309,0.605,0.471,0.09,0.014,0.242,0.159,0.360659061,305.2567209,96.03808884,285.2225696,87.75722354,599.98,46.28,553.7,46.9,29.4,45.9,10606,42132,25853,16267,-0.17
1021,Chilton,Alabama,53,1,36,2109.650602,40,47,44,41,32,25,0.178,0.441,0.24,0.142,0.036,0.953,0.237605599,0.118315856,0.119289742,0.594546237,0.29610672,0.298439517,0.167848164,0.076325504,0.09152266,0.01741671,0.00672661,0.0106901,0.493,0.507,0.977,0.833,0.094,0.003,0.004,0.042,0.023,0.078,0.801,0.578642568,0.009908263,0.354715821,0.047559663,0.019816526,0.421362759,0.062483451,0.103338015,0.012817118,0.015433644,0.024129297,0.038811746,0.001411336,0.017095379,0.027361712,0.019622126,0.220122923,0.18126565,0.025973139,0.712,0.514,0.14,0.288,0.707,0.374,0.068,0.019,0.202,0.182,0.480351024,305.7702408,95.93478176,287.4454119,85.88084477,700.8,7.95,692.85,63,27.8,38.6,16751,47547,43930,19278,-0.29
1031,Coffee,Alabama,111,0,39,2109.650602,40,47,44,41,32,25,0.138,0.279,0.349,0.234,0.039,1.105,0.23656784,0.121712998,0.114854842,0.593885453,0.295844651,0.298040802,0.169546707,0.074091198,0.095455509,0.018686548,0.006087576,0.012598971,0.494,0.506,0.969,0.759,0.172,0.012,0.013,0.013,0.031,0.069,0.706,0.586051143,0.011859382,0.352816624,0.037554711,0.013835946,0.428900386,0.053109616,0.099781703,0.023336044,0.013901887,0.03930744,0.057089378,0.005459367,0.026497426,0.02043363,0.042115115,0.357471533,0.304769147,0.031820309,0.686,0.517,0.132,0.314,0.754,0.344,0.06,0.013,0.27,0.128,0.385355602,306.1311374,97.28072165,289.7128747,87.31000077,680.49,1.52,678.97,73.6,32.9,39.3,19789,55122,51288,22330,-0.28
1033,Colbert,Alabama,29,2,36,2109.650602,40,47,44,41,32,25,0.156,0.36,0.297,0.187,0.046,0.983,0.207625726,0.104707644,0.102918082,0.59307549,0.288119499,0.304955991,0.199298784,0.086684197,0.112614587,0.023483437,0.008984332,0.014499105,0.478,0.522,0.978,0.794,0.158,0.007,0.005,0.013,0.022,0.025,0.787,0.600159556,0.014879989,0.342239747,0.033727975,0.016863988,0.427961905,0.067616332,0.108021213,0.017316378,0.01609322,0.029782549,0.056298743,0.004844481,0.027598862,0.020368841,0.016405175,0.448609964,0.409340306,0.025892284,0.677,0.501,0.125,0.323,0.667,0.402,0.068,0.01,0.251,0.119,0.403712693,305.1925749,95.5697313,284.6816744,86.95980546,622.13,29.51,592.62,91.8,43.5,42.7,21799,49055,54495,25758,-0.22
1039,Covington,Alabama,36,1,34,2109.650602,40,47,44,41,32,25,0.171,0.354,0.325,0.149,0.046,0.806,0.218704375,0.111880171,0.106824204,0.570675391,0.28026821,0.290407181,0.210620235,0.091710377,0.118909858,0.026469475,0.008543773,0.017925702,0.487,0.513,0.984,0.847,0.129,0.002,0.004,0.002,0.016,0.016,0.834,0.600105352,0.009821692,0.332955343,0.039286766,0.018661214,0.423208883,0.084314342,0.109690504,0.022101818,0.022355492,0.024229606,0.049985275,0.003828545,0.019008862,0.018741131,0.023078365,0.35953522,0.318197639,0.026451768,0.675,0.493,0.136,0.325,0.656,0.438,0.061,0.009,0.214,0.144,0.446111274,306.4426267,98.02485009,290.1757077,89.34498137,1043.79,13.33,1030.46,36.6,18.3,43.9,15008,40203,37351,18829,-0.21
