fips.x,county,state.x,cases,deaths,days_since_first_infection1,Tests.per.100thousand,stayhome,Percent.of.adults.with.a.bachelor.s.degree.or.higher.2014.18,Unemployment_rate_2018,Total_age18to64,E_Total_Pop_SEX_Male,E_Total_Pop_RACE_One_Race,E_Total_Pop_RACE_White,E_Total_Pop_in_Households_Householder_Spouse,E_Total_Pop_in_Households_Householder_Parent,E_Total_Pop_Over_15_MARITAL_STATUS_Divorced,E_INDUSTRY_Administrative_Waste_Management,E_INDUSTRY_Educational,E_INDUSTRY_Healthcare_Social_Assistance,E_INDUSTRY_Arts_Entertainment_Recreation,E_INDUSTRY_Accommodation_Food_Services,E_INDUSTRY_Other_Services,E_INDUSTRY_Public_Administration,ET_TRANSPORTATION_Total_Workers_Over_16,E_TRANSPORTATION_Total_Workers_Over_16_Drove_Alone,E_Total_Households_TYPE_Family,E_Total_Households_WITH_INCOME_WITH_EARNINGS,E_Total_Pop_POVERTY_STATUS_Below_100_Percent,summer_tmmx,summer_rmax,Density.per.square.mile.of.land.area...Population,EM_Total_Pop_Median_Age,Median_Household_Income_2018,ET_Total_Population,workplaces_percent_change_from_baseline
1001,Autauga,Alabama,42,4,37,2109.650602,25,0.277,0.036,0.607632956,0.487,0.981,0.769,0.599015761,0.006930761,0.089198152,0.014402174,0.040561594,0.047192029,0.007155797,0.028351449,0.027300725,0.044800725,0.243351449,0.200815217,0.718,0.739,0.399422685,306.023451,96.05541747,4.519612298,3.632309103,10.99100519,10.91871823,-0.31
1003,Baldwin,Alabama,174,3,47,2109.650602,25,0.313,0.036,0.579487391,0.486,0.983,0.863,0.576527483,0.009855171,0.109775856,0.019672572,0.035606683,0.054529641,0.009317322,0.035928633,0.022012715,0.022733498,0.365557141,0.302479013,0.653,0.718,0.276290021,305.5166332,97.97154375,4.741447804,3.756538103,10.96106949,12.24580765,-0.31
1009,Blount,Alabama,37,0,36,2109.650602,25,0.126,0.035,0.586099585,0.493,0.984,0.955,0.563640177,0.011886963,0.09444637,0.012611675,0.023471246,0.049457889,0.001942927,0.015179114,0.022048747,0.01698326,0.150576806,0.124590164,0.733,0.67,0.399019806,305.1788646,94.63094868,4.487512143,3.708682081,10.82798452,10.96205879,-0.28
1015,Calhoun,Alabama,93,3,43,2109.650602,25,0.18,0.047,0.606727513,0.481,0.976,0.743,0.57793953,0.011675546,0.105130862,0.016194895,0.036916367,0.054049593,0.006264227,0.02931415,0.020573772,0.030000521,0.403395367,0.350544753,0.685,0.714,0.462515622,305.1069784,96.38513365,5.276582874,3.681351188,10.72326738,11.65353922,-0.29
1017,Chambers,Alabama,291,21,42,2109.650602,25,0.132,0.039,0.596787149,0.481,0.99,0.576,0.569251227,0.014772956,0.101164134,0.02861704,0.030479513,0.051794478,0.004227517,0.023118311,0.017796961,0.01759002,0.26015491,0.223526282,0.641,0.673,0.408662622,305.6673526,96.23720963,4.050044303,3.761200116,10.59455758,10.42898502,-0.29
1019,Cherokee,Alabama,15,0,36,2109.650602,25,0.129,0.036,0.578595575,0.496,0.992,0.928,0.645089854,0.004947008,0.096344138,0.007117162,0.028352609,0.059838317,0.002050052,0.015704174,0.008200209,0.023362859,0.242447685,0.214365838,0.691,0.605,0.360659061,305.2567209,96.03808884,3.848017675,3.826465117,10.64856283,10.16018193,-0.17
1021,Chilton,Alabama,53,1,36,2109.650602,25,0.142,0.036,0.594546237,0.493,0.977,0.833,0.578642568,0.009908263,0.103338015,0.015433644,0.024129297,0.038811746,0.001411336,0.017095379,0.027361712,0.019622126,0.220122923,0.18126565,0.712,0.707,0.480351024,305.7702408,95.93478176,4.143134726,3.653252276,10.76947397,10.69035274,-0.29
1031,Coffee,Alabama,111,0,28,2109.650602,25,0.234,0.039,0.593885453,0.494,0.969,0.759,0.586051143,0.011859382,0.099781703,0.013901887,0.03930744,0.057089378,0.005459367,0.026497426,0.02043363,0.042115115,0.357471533,0.304769147,0.686,0.754,0.385355602,306.1311374,97.28072165,4.298645026,3.671224519,10.91730419,10.84521209,-0.28
1033,Colbert,Alabama,29,2,36,2109.650602,25,0.187,0.046,0.59307549,0.478,0.978,0.794,0.600159556,0.014879989,0.108021213,0.01609322,0.029782549,0.056298743,0.004844481,0.027598862,0.020368841,0.016405175,0.448609964,0.409340306,0.677,0.667,0.403712693,305.1925749,95.5697313,4.519612298,3.75419892,10.8006974,10.90586423,-0.22
1039,Covington,Alabama,36,1,34,2109.650602,25,0.149,0.046,0.570675391,0.487,0.984,0.847,0.600105352,0.009821692,0.109690504,0.022355492,0.024229606,0.049985275,0.003828545,0.019008862,0.018741131,0.023078365,0.35953522,0.318197639,0.675,0.656,0.446111274,306.4426267,98.02485009,3.60004824,3.78191432,10.6016969,10.52811496,-0.21
1043,Cullman,Alabama,55,0,41,2109.650602,25,0.137,0.033,0.590098512,0.493,0.982,0.952,0.579427843,0.010839637,0.110702708,0.017506348,0.023945185,0.056564577,0.003523137,0.021746261,0.020847254,0.013132798,0.3428863,0.3030627,0.693,0.681,0.416548259,305.0486137,95.42083434,4.69501089,3.703768067,10.73195203,11.31828433,-0.3
1045,Dale,Alabama,27,0,29,2109.650602,25,0.17,0.042,0.601335893,0.492,0.966,0.729,0.563178885,0.009743579,0.112881129,0.014719318,0.023774236,0.039792914,0.003431124,0.030210131,0.019531012,0.031509491,0.433722465,0.375515176,0.674,0.71,0.471619497,306.1688954,96.89369761,4.49535532,3.624340933,10.72126097,10.80476616,-0.26
1047,Dallas,Alabama,38,3,36,2109.650602,25,0.151,0.065,0.581258157,0.461,0.993,0.281,0.546736491,0.007880886,0.086412951,0.008818607,0.031702016,0.049314247,0.001224113,0.019785655,0.020984786,0.022408754,0.346548752,0.301381498,0.647,0.656,0.749971474,306.3338846,96.00506372,3.802208139,3.676300672,10.43514469,10.59735947,-0.26
1049,DeKalb,Alabama,76,2,35,2109.650602,25,0.127,0.038,0.586607831,0.496,0.977,0.856,0.560341573,0.011838202,0.097466348,0.009648876,0.022148876,0.045014045,0.004255618,0.02252809,0.017106742,0.01502809,0.33747191,0.287598315,0.705,0.677,0.593812758,303.8219788,97.44301036,4.516338972,3.671224519,10.58382808,11.1732481,-0.23
1051,Elmore,Alabama,86,2,48,2109.650602,25,0.245,0.034,0.62617998,0.486,0.98,0.749,0.551241245,0.007564202,0.104425947,0.011907107,0.033061617,0.050435896,0.010404866,0.023087721,0.019553761,0.048514998,0.235938039,0.19641186,0.719,0.746,0.323645781,305.935176,96.20376982,4.853591544,3.653252276,11.00819788,11.3048183,-0.34
1053,Escambia,Alabama,28,1,34,2109.650602,25,0.127,0.046,0.596848808,0.511,0.988,0.619,0.515695564,0.007393485,0.101883974,0.007152808,0.021458423,0.043157951,0.009028075,0.020386841,0.014975354,0.03153129,0.331386627,0.300310759,0.612,0.594,0.614530831,306.2816795,98.22295412,3.701301974,3.681351188,10.55628138,10.52749899,-0.26
1055,Etowah,Alabama,139,9,36,2109.650602,25,0.177,0.041,0.595281997,0.482,0.983,0.803,0.562580072,0.012830774,0.11613779,0.011084234,0.030940654,0.065096805,0.004760101,0.034603017,0.023411924,0.021362166,0.357493273,0.304957305,0.674,0.677,0.452993476,305.0557873,95.06205999,5.274024674,3.7208625,10.71225989,11.54189186,-0.29
