Combined_Key,Maricopa - Arizona - US,Los Angeles - California - US,Orange - California - US,San Diego - California - US,San Francisco - California - US,Santa Clara - California - US,Cook - Illinois - US,Suffolk - Massachusetts - US,Snohomish - Washington - US,Dane - Wisconsin - US
X1.22.20,0,0,0,0,0,0,0,0,0,0
X1.23.20,0,0,0,0,0,0,0,0,0,0
X1.24.20,0,0,0,0,0,0,0.019143449,0,0,0
X1.25.20,0,0,0,0,0,0,0.019143449,0,0,0
X1.26.20,0.023512814,0.009902951,0.031605563,0,0,0,0.019143449,0,0,0
X1.27.20,0.023512814,0.009902951,0.031605563,0,0,0,0.019143449,0,0,0
X1.28.20,0.023512814,0.009902951,0.031605563,0,0,0,0.019143449,0,0,0
X1.29.20,0.023512814,0.009902951,0.031605563,0,0,0,0.019143449,0,0,0
X1.30.20,0.023512814,0.009902951,0.031605563,0,0,0,0.019143449,0,0,0
X1.31.20,0.023512814,0.009902951,0.031605563,0,0,0.052023723,0.038286899,0,0,0
X2.1.20,0.023512814,0.009902951,0.031605563,0,0,0.052023723,0.038286899,0.126299942,0,0
X2.2.20,0.023512814,0.009902951,0.031605563,0,0,0.052023723,0.038286899,0.126299942,0,0
X2.3.20,0.023512814,0.009902951,0.031605563,0,0,0.104047446,0.038286899,0.126299942,0,0
X2.4.20,0.023512814,0.009902951,0.031605563,0,0,0.104047446,0.038286899,0.126299942,0,0
X2.5.20,0.023512814,0.009902951,0.031605563,0,0,0.104047446,0.038286899,0.126299942,0,0
X2.6.20,0.023512814,0.009902951,0.031605563,0,0,0.104047446,0.038286899,0.126299942,0,0
X2.7.20,0.023512814,0.009902951,0.031605563,0,0,0.104047446,0.038286899,0.126299942,0,0
X2.8.20,0.023512814,0.009902951,0.031605563,0,0,0.104047446,0.038286899,0.126299942,0,0
X2.9.20,0.023512814,0.009902951,0.031605563,0,0,0.104047446,0.038286899,0.126299942,0,0
X2.10.20,0.023512814,0.009902951,0.031605563,0,0,0.104047446,0.038286899,0.126299942,0,0
X2.11.20,0.023512814,0.009902951,0.031605563,0.030284676,0,0.104047446,0.038286899,0.126299942,0,0
X2.12.20,0.023512814,0.009902951,0.031605563,0.030284676,0,0.104047446,0.038286899,0.126299942,0,0
X2.13.20,0.023512814,0.009902951,0.031605563,0.060569352,0,0.104047446,0.038286899,0.126299942,0,0
X2.14.20,0.023512814,0.009902951,0.031605563,0.060569352,0,0.104047446,0.038286899,0.126299942,0,0
X2.15.20,0.023512814,0.009902951,0.031605563,0.060569352,0,0.104047446,0.038286899,0.126299942,0,0
