date,cum_cases,cases,cum_deaths,deaths,recoveries 
1/22/2020,0,0,0,0,0
1/23/2020,0,0,0,0,0
1/24/2020,0,0,0,0,0
1/25/2020,0,0,0,0,0
1/26/2020,0,0,0,0,0
1/27/2020,0,0,0,0,0
1/28/2020,0,0,0,0,0
1/29/2020,0,0,0,0,0
1/30/2020,0,0,0,0,0
1/31/2020,0,0,0,0,0
2/1/2020,0,0,0,0,0
2/2/2020,0,0,0,0,0
2/3/2020,0,0,0,0,0
2/4/2020,0,0,0,0,0
2/5/2020,0,0,0,0,0
2/6/2020,0,0,0,0,0
2/7/2020,0,0,0,0,0
2/8/2020,0,0,0,0,0
2/9/2020,0,0,0,0,0
2/10/2020,0,0,0,0,0
2/11/2020,0,0,0,0,0
2/12/2020,0,0,0,0,0
2/13/2020,0,0,0,0,0
2/14/2020,0,0,0,0,0
2/15/2020,0,0,0,0,0
2/16/2020,0,0,0,0,0
2/17/2020,0,0,0,0,0
2/18/2020,0,0,0,0,0
2/19/2020,0,0,0,0,0
2/20/2020,0,0,0,0,0
2/21/2020,0,0,0,0,0
2/22/2020,0,0,0,0,0
2/23/2020,0,0,0,0,0
2/24/2020,0,0,0,0,0
2/25/2020,0,0,0,0,0
2/26/2020,0,0,0,0,0
2/27/2020,0,0,0,0,0
2/28/2020,0,0,0,0,0
2/29/2020,0,0,0,0,0
3/1/2020,0,0,0,0,0
3/2/2020,1,1,0,0,0
3/3/2020,2,1,0,0,0
3/4/2020,11,9,0,0,0
3/5/2020,23,12,0,0,0
3/6/2020,31,8,0,0,0
3/7/2020,76,45,0,0,0
3/8/2020,106,30,0,0,0
3/9/2020,142,36,0,0,0
3/10/2020,150,8,0,0,0
3/11/2020,220,70,0,0,0
3/12/2020,327,107,1,1,0
3/13/2020,421,94,2,1,0
3/14/2020,613,192,6,4,0
3/15/2020,615,2,12,6,0
3/16/2020,967,352,24,12,0
3/17/2020,1578,611,38,14,0
3/18/2020,3038,1460,63,25,0
3/19/2020,5704,2666,96,33,0
3/20/2020,8403,2699,151,55,0
3/21/2020,11727,3324,195,44,0
3/22/2020,15800,4073,286,91,0
3/23/2020,20884,5084,387,101,0
3/24/2020,25681,4797,512,125,0
3/25/2020,30841,5160,659,147,0
3/26/2020,37877,7036,902,243,0
3/27/2020,44876,6999,1211,309,0
3/28/2020,52410,7534,1588,377,0
3/29/2020,59648,7238,2016,428,0
3/30/2020,66663,7015,2556,540,0
3/31/2020,75833,9170,3207,651,0
4/1/2020,83948,8115,3917,710,0
4/2/2020,92506,8558,4730,813,0
4/3/2020,102987,10481,5418,688,0
4/4/2020,113833,10846,5991,573,0
4/5/2020,123160,9327,6785,794,0
4/6/2020,131815,8655,7809,1024,0
4/7/2020,139875,8060,8886,1077,0
4/8/2020,151061,11186,9834,948,0
4/9/2020,161779,10718,10778,944,0
4/10/2020,172348,10569,11605,827,0
4/11/2020,181026,8678,12498,893,0
4/12/2020,189033,8007,13442,944,0
4/13/2020,195749,6716,14390,948,0
4/14/2020,203020,7271,15261,871,0
4/15/2020,214454,11434,16013,752,0
4/16/2020,223691,9237,16729,716,0
4/17/2020,230597,6906,17755,1026,0
4/18/2020,237474,6877,18760,1005,0
4/19/2020,243382,5908,18982,222,0
4/20/2020,248416,5034,19176,194,0
4/21/2020,253519,5103,19746,570,0
4/22/2020,258222,4703,20203,457,0
4/23/2020,263460,5238,20743,540,0
4/24/2020,271590,8130,20955,212,0
4/25/2020,282143,10553,22009,1054,0
4/26/2020,288045,5902,22269,260,0
4/27/2020,291996,3951,22668,399,0
4/28/2020,295106,3110,22912,244,0
4/29/2020,299691,4585,23477,565,0
4/30/2020,304372,4681,23587,110,0
5/1/2020,308314,3942,24039,452,0
5/2/2020,312977,4663,24198,159,0
5/3/2020,316415,3438,24708,510,0
5/4/2020,318953,2538,24999,291,0
