date,cum_cases,cases,cum_deaths,deaths,recoveries 
1/22/2020,0,0,0,0,0
1/23/2020,0,0,0,0,0
1/24/2020,0,0,0,0,0
1/25/2020,0,0,0,0,0
1/26/2020,0,0,0,0,0
1/27/2020,0,0,0,0,0
1/28/2020,0,0,0,0,0
1/29/2020,0,0,0,0,0
1/30/2020,0,0,0,0,0
1/31/2020,0,0,0,0,0
2/1/2020,0,0,0,0,0
2/2/2020,0,0,0,0,0
2/3/2020,0,0,0,0,0
2/4/2020,0,0,0,0,0
2/5/2020,0,0,0,0,0
2/6/2020,0,0,0,0,0
2/7/2020,0,0,0,0,0
2/8/2020,0,0,0,0,0
2/9/2020,0,0,0,0,0
2/10/2020,0,0,0,0,0
2/11/2020,0,0,0,0,0
2/12/2020,0,0,0,0,0
2/13/2020,0,0,0,0,0
2/14/2020,0,0,0,0,0
2/15/2020,0,0,0,0,0
2/16/2020,0,0,0,0,0
2/17/2020,0,0,0,0,0
2/18/2020,0,0,0,0,0
2/19/2020,0,0,0,0,0
2/20/2020,0,0,0,0,0
2/21/2020,0,0,0,0,0
2/22/2020,0,0,0,0,0
2/23/2020,0,0,0,0,0
2/24/2020,0,0,0,0,0
2/25/2020,0,0,0,0,0
2/26/2020,0,0,0,0,0
2/27/2020,0,0,0,0,0
2/28/2020,0,0,0,0,0
2/29/2020,0,0,0,0,0
3/1/2020,0,0,0,0,0
3/2/2020,0,0,0,0,0
3/3/2020,0,0,0,0,0
3/4/2020,0,0,0,0,0
3/5/2020,3,3,0,0,0
3/6/2020,4,1,0,0,0
3/7/2020,8,4,0,0,0
3/8/2020,11,3,0,0,0
3/9/2020,13,2,0,0,0
3/10/2020,16,3,0,0,0
3/11/2020,21,5,0,0,0
3/12/2020,27,6,0,0,0
3/13/2020,44,17,0,0,0
3/14/2020,60,16,0,0,0
3/15/2020,63,3,0,0,0
3/16/2020,85,22,0,0,0
3/17/2020,110,25,1,1,0
3/18/2020,196,86,3,2,0
3/19/2020,306,110,5,2,0
3/20/2020,429,123,5,0,0
3/21/2020,582,153,5,0,0
3/22/2020,643,61,7,2,0
3/23/2020,758,115,9,2,0
3/24/2020,955,197,12,3,0
3/25/2020,1229,274,15,3,0
3/26/2020,1563,334,21,6,0
3/27/2020,1937,374,26,5,0
3/28/2020,2455,518,30,4,0
3/29/2020,2792,337,37,7,0
3/30/2020,3147,355,45,8,0
3/31/2020,3809,662,54,9,0
4/1/2020,4355,546,66,12,0
4/2/2020,5069,714,77,11,0
4/3/2020,5734,665,100,23,0
4/4/2020,6567,833,116,16,0
4/5/2020,7209,642,136,20,0
4/6/2020,8043,834,150,14,0
4/7/2020,8925,882,160,10,0
4/8/2020,9777,852,189,29,0
4/9/2020,11208,1431,210,21,0
4/10/2020,12105,897,238,28,0
4/11/2020,13023,918,266,28,0
4/12/2020,13677,654,283,17,0
4/13/2020,14275,598,305,22,0
4/14/2020,15006,731,342,37,0
4/15/2020,15907,901,375,33,0
4/16/2020,16876,969,414,39,0
4/17/2020,17849,973,451,37,0
4/18/2020,18704,855,476,25,0
4/19/2020,19260,556,490,14,0
4/20/2020,19751,491,507,17,0
4/21/2020,20574,823,533,26,0
4/22/2020,21321,747,556,23,0
4/23/2020,22650,1329,604,48,0
4/24/2020,23642,992,624,20,0
4/25/2020,24153,511,638,14,0
4/26/2020,24967,814,651,13,0
4/27/2020,25321,354,666,15,0
4/28/2020,26357,1036,719,53,0
4/29/2020,27257,900,754,35,0
4/30/2020,28727,1470,812,58,0
5/1/2020,29692,965,840,28,0
5/2/2020,30917,1225,863,23,0
5/3/2020,31998,1081,878,15,0
5/4/2020,32783,785,901,23,0
