"","RMSE","k_grid"
"K75",82297.2204456013,75
"K76",82443.4663714427,76
"K77",82998.7860983213,77
"K78",82792.212920222,78
"K79",82105.1911719059,79
"K80",82172.9376376553,80
"K81",82562.0199673949,81
"K82",82322.3269455645,82
"K83",82106.5003463018,83
"K84",82179.3351850975,84
"K85",82622.21341082,85
"K86",82753.2738110183,86
"K87",82400.7907897876,87
"K88",82166.707383926,88
"K89",82497.0100511572,89
"K90",82429.9219104234,90
"K91",82271.3021212103,91
"K92",81942.6078966645,92
"K93",82274.0639186259,93
"K94",82034.6557800029,94
"K95",81809.4534659375,95
"K96",81806.8767724567,96
"K97",82012.3737322075,97
"K98",81833.3996574927,98
"K99",82351.8379716873,99
"K100",81715.0712730032,100
"K101",81693.1124344844,101
"K102",81364.2449407528,102
"K103",81908.7424098745,103
"K104",81164.5657319594,104
"K105",81443.7562007928,105
"K106",81321.4862751928,106
"K107",81309.9614318136,107
"K108",81160.9030450888,108
"K109",81438.9084528093,109
"K110",81352.0258819219,110
"K111",81908.4126699553,111
"K112",81889.8784822134,112
"K113",81398.9814926093,113
"K114",81025.4180916283,114
"K115",81561.5302237194,115
"K116",81337.5239143915,116
"K117",81780.9621562626,117
"K118",81293.2032471915,118
"K119",81426.6323196622,119
"K120",81147.8185273128,120
"K121",81234.4976263701,121
"K122",80870.4852885324,122
"K123",81429.0467159071,123
"K124",81249.0763823062,124
"K125",80971.4498907822,125
"K126",81264.999421039,126
"K127",81253.9423776756,127
"K128",81047.726220677,128
"K129",81350.7459465039,129
"K130",81587.4413521914,130
"K131",81181.1414943272,131
"K132",81276.6108546173,132
"K133",81245.3734044414,133
"K134",81028.6501052952,134
"K135",80616.8821309102,135
"K136",81054.9370075341,136
"K137",81207.3794070824,137
"K138",81046.2922028763,138
"K139",81022.1483464466,139
"K140",80956.1701599229,140
"K141",81249.7829155833,141
"K142",81006.2310357903,142
"K143",81264.8952789454,143
"K144",81056.889350312,144
"K145",81018.9158149929,145
"K146",81242.9603332331,146
"K147",80860.1608183295,147
"K148",80789.6122355559,148
"K149",80696.2043164745,149
"K150",80735.6774262694,150
"K151",81293.4953648612,151
"K152",81193.3832771448,152
"K153",81165.3288286343,153
"K154",81069.9745449447,154
"K155",81441.9223070413,155
"K156",81073.9984880554,156
"K157",81260.837650007,157
"K158",80879.9622288581,158
"K159",81346.6609865522,159
"K160",81169.7961118636,160
"K161",80921.52178848,161
"K162",80808.237919304,162
"K163",80949.2128759805,163
"K164",81498.4878129931,164
"K165",80813.2506054899,165
"K166",81571.081157595,166
"K167",81734.9688667977,167
"K168",81352.8444259233,168
"K169",81461.6492868264,169
"K170",81469.7191273331,170
"K171",81126.8959734451,171
"K172",81594.7463148335,172
"K173",80959.2280020047,173
"K174",81464.2891605186,174
"K175",81160.5388788825,175
"K176",81392.8037806453,176
"K177",81081.1082858934,177
"K178",81558.7552128451,178
"K179",81063.2501947619,179
"K180",81517.5321986365,180
"K181",81453.2871854132,181
"K182",81707.2510397609,182
"K183",81661.693341272,183
"K184",81579.6626268291,184
"K185",81281.7008813262,185
"K186",81887.4937623465,186
"K187",81783.9552445476,187
"K188",81631.4725469232,188
"K189",81989.6490699173,189
"K190",81346.0692871645,190
"K191",81751.7008852507,191
"K192",81510.1597593813,192
"K193",81484.1819086062,193
"K194",81400.3510090598,194
"K195",81648.4105850218,195
"K196",81624.3790237942,196
"K197",81902.1266378266,197
"K198",81620.4536850002,198
"K199",81941.4705922536,199
"K200",81725.0622065327,200
"K201",81930.1232703521,201
"K202",81888.55687382,202
"K203",82201.7079005238,203
"K204",81828.5081664519,204
"K205",82278.3221905957,205
"K206",82038.4886554737,206
"K207",82047.7751881374,207
"K208",81989.7835828936,208
"K209",81788.6222852301,209
"K210",82633.5722778403,210
"K211",81663.1971553576,211
"K212",81499.4642439906,212
"K213",82413.1888537104,213
"K214",82381.907164603,214
"K215",82266.1788056566,215
"K216",82301.0339986206,216
"K217",82541.5932379123,217
"K218",82443.4601921712,218
"K219",82238.7136292522,219
"K220",82187.9650154631,220
"K221",82110.7128225936,221
"K222",81980.472656044,222
"K223",82518.5065423404,223
"K224",82186.2345169763,224
"K225",82560.8605593875,225
